total_loc,file_count,avg_complexity,duplication_percentage,team_size,functional_points,actual_effort_hours,actual_time_days,actual_cost_inr
84754,552,1.0651301022265796,0.7226819032594023,9,572,682,16,191437
35873,867,3.0440790010684093,3.540417230751544,2,2000,876,77,257997
67535,902,2.108269146866853,2.4266615421240663,5,1930,712,27,227581
56986,390,1.7805156101554593,0.3816205885860625,6,405,501,16,221573
66903,569,5.437318516387691,0.7707265715229491,4,2000,922,43,397728
31651,774,4.021373764032247,2.286266294280443,7,2000,688,19,215784
11494,68,5.290612733209406,7.649576896422846,2,254,185,16,23022
69192,422,2.5029581169038204,2.9246399991450405,7,1965,528,15,158111
3990,31,1.3087326998122997,4.004849452704733,2,98,40,3,9519
41706,823,3.621203752833143,1.4491562113313043,1,2000,768,131,207922
96376,592,1.5076824365530188,2.9654022240280016,5,1280,1244,47,650260
80138,600,2.280436844067245,2.075795237796372,2,1332,692,61,159207
87413,529,1.1478611056766992,3.7668884740294044,8,2000,1182,30,637284
10727,66,4.8384129504494355,0.18164767958691835,8,184,96,2,31692
8892,52,1.2961353762646253,2.379428076408975,1,86,78,13,42448
74069,602,6.134910073416297,1.2283825653091638,4,829,700,32,144045
43101,690,5.392954362006035,1.381799220901633,9,1995,1071,25,108325
76652,520,2.3743597042589912,11.347275559540632,5,1487,1023,39,129909
23997,172,4.000837769398855,0.7060994766709401,6,621,278,9,90125
68248,429,3.125474470794669,1.3050450900582315,3,1237,667,40,499436
23583,351,4.574858309522667,2.4959573754613715,5,552,294,11,96345
48655,683,2.243639730736221,6.957898760135482,1,2000,1026,176,259654
17259,94,4.3899464076210455,1.8865082518626588,8,434,245,6,82756
80177,501,2.3656416000997464,4.7671810423689855,6,820,547,17,178580
36020,194,7.2252038993387595,6.7919014242968565,2,729,351,31,198292
92167,571,2.465763655968474,1.2988058501649509,4,1927,1243,58,310697
67221,495,2.3663065787274293,1.7458525467096526,4,1977,640,29,242813
69579,480,4.382393402421766,1.5432221961175678,9,769,726,17,380167
89575,491,4.7919244450344545,6.261144461773904,9,2000,1153,27,282308
19557,147,2.7787739147748898,0.15876090327798975,5,512,238,9,162829
66657,472,1.4360496804587242,1.290723064574207,3,2000,1034,62,125560
77289,1188,2.3874463675286837,3.981557060597887,1,2000,896,153,678480
79053,682,8.57743285800113,2.9170025752272104,6,2000,1617,53,216529
53095,343,4.076284299637228,2.0062497263602914,8,1414,1007,26,348368
40857,490,4.667111738862992,2.71745686209721,1,1268,671,115,225888
9792,135,1.0734279558595974,0.7704509135210071,1,342,123,21,30882
45858,508,2.3878648444007764,1.9718192900790128,7,1844,921,26,613779
72509,922,3.2884719480476803,2.437956368494631,7,1266,655,18,359380
71311,958,4.898728057512827,8.100916525152455,2,2000,1041,91,638842
65797,609,1.1111638249704883,1.0578201498004471,3,713,719,43,267315
37165,200,5.209728279644326,7.082792407727201,2,352,366,32,84585
92193,761,2.748913146161015,3.6172600462124906,6,2000,635,20,483811
99399,1418,1.4835416046472454,0.07192694114567587,8,1975,1426,36,663729
32706,625,1.8395951498188992,4.5137557010527765,8,2000,417,10,134855
11634,76,1.728612714300779,0.1266973227450776,1,339,91,15,9211
94763,935,2.665074376125252,20.807538973650793,9,2000,1473,34,1129904
40497,236,1.1167523948937075,7.212490424210702,8,1009,565,14,203612
91487,628,1.3797469178297883,1.2351061767664206,9,2000,1551,36,1089201
1116,6,4.6850143629382135,1.0416450105628494,9,12,10,1,5000
89889,1076,1.3129712264938966,1.681269913254536,6,2000,1433,46,353697
55691,369,1.5847275713403963,1.5411054729099674,3,656,712,43,132354
89912,1093,2.3287653063072216,1.630136146149094,1,2000,892,153,395357
23347,122,2.6015756737315368,1.3409591867592976,8,394,200,5,84970
24400,172,4.173003513772244,3.3969989648926773,3,663,243,14,146886
74165,806,2.3045969011343965,0.6280473600382547,7,903,524,15,141055
82898,997,4.432007247315359,6.5473842221305905,6,2000,1098,35,384569
9368,132,3.1191316178966937,5.857097692609692,3,453,229,13,70088
86907,575,1.2640500473472043,2.265151603752587,6,1396,652,21,106785
12285,163,1.3739902342669001,6.704205922668729,3,668,322,19,116016
63804,471,2.2639782226382312,0.9935895403893806,9,1698,1182,27,149146
86879,1055,2.112440276997989,0.06202545663888924,1,2000,921,158,216058
39199,268,3.9937582849799256,3.3792562573328517,8,424,264,6,45341
8671,50,2.9123658497759317,2.1431275099088363,5,175,119,4,31090
38144,231,2.0807290400150507,2.9308917321025563,4,647,541,25,242347
51314,317,1.4119412047008806,8.036003173044804,1,531,381,65,193861
61328,875,1.5659841400789027,12.264280309715232,9,2000,815,19,510522
49084,906,2.885060479398825,3.522262797925631,9,2000,555,13,276257
40874,269,2.2114823502244847,5.05455668173762,5,385,382,14,78918
2668,26,2.5916052524833297,0.30635430849024137,9,82,40,1,25258
62692,574,1.4117214168422674,0.6132197294374382,9,2000,858,20,406331
67663,1504,3.3922672495956703,4.624458911351021,7,2000,1306,37,236397
2795,34,5.2112175326578365,1.9758106534843456,8,146,36,1,16255
48290,1063,1.656313926172405,2.066847668896508,1,1605,825,141,114864
5358,29,2.487899687901694,1.2916675163656302,4,79,53,2,13168
87638,1110,9.162436159399086,3.2719851735127974,4,2000,1382,64,416493
39604,306,1.891721002416825,0.7166939358679347,9,1133,692,16,495593
33259,719,2.98876183073469,3.4508335129883667,3,2000,802,48,189405
14086,96,1.2079566670808504,0.6682095725964842,1,375,121,20,38573
61958,675,3.049173385089946,0.2308388579754967,5,2000,1126,43,326755
12766,69,1.2065934565148027,1.4035405050906662,7,95,90,2,25962
38760,212,8.039872593130504,0.9199638892294861,4,801,399,18,232517
3661,39,3.7667065820561274,7.693524132649278,9,152,47,1,33896
26954,146,4.414230613462493,0.19782384137570472,6,726,328,10,170715
64605,324,3.679046605400005,0.6801542968322472,6,1222,660,21,226021
52351,304,2.9600623899020078,2.7848324544415175,3,1139,562,34,186883
22762,129,2.3148925536637863,2.29593303215869,5,394,232,8,40786
8492,106,5.3000344625785,0.16427775894459729,6,473,106,3,12353
30635,231,7.914029677124676,0.025475991522015608,4,1152,756,35,249733
78703,1550,2.5206870402003965,15.499842918725182,3,2000,1285,77,286503
52356,948,6.899153328552231,3.7638585931483775,5,2000,1265,48,209915
89235,446,2.9260289869190883,1.591695213249721,7,586,830,23,112137
35322,382,2.7006490758801203,2.2249295838561527,6,1492,721,23,74871
77473,485,2.3332458053183824,1.08498604997334,2,1859,887,78,202518
79675,471,1.516606578412571,1.480245778406192,1,1932,903,155,388572
96454,544,1.0081985111104232,3.6648351282046816,5,815,743,28,229543
84751,424,1.6081255172558246,7.50390927942904,5,1532,1344,51,547389
63435,806,2.5681272012865426,0.7122509755395054,6,1759,1260,41,627895
11065,238,2.051536661779153,6.421952000525346,3,961,187,11,132116
24638,232,2.309190642145344,0.45361342262516635,1,455,291,49,58546
70692,1162,9.678935873399855,0.8472157924718907,4,2000,1041,48,249612
98118,2251,1.9486444785615102,0.13259367327156363,4,2000,1668,77,515928
8210,84,2.3239905331777937,0.5311857645395053,2,87,84,7,59552
79409,480,1.3152844580766694,8.724007993076722,8,1696,694,17,344917
27366,209,1.1081208622465877,2.153015623739325,6,303,203,6,64777
53092,589,4.285648519920301,0.28296700319433704,3,2000,791,47,267668
83048,573,2.860232248555615,11.242244958625333,1,2000,1327,227,231288
98906,1282,4.146126209666047,7.391654071072124,3,2000,865,52,121988
7010,165,1.3571865647874006,4.9182072593967945,8,320,172,4,59618
91082,561,2.8661106113667065,9.48550494972857,4,2000,1019,47,165581
306,2,1.6436111806745402,0.8701955402484736,3,4,4,1,5000
87154,538,1.5694717729098644,6.3355011191105355,4,2000,1064,49,354533
87997,1903,1.0255044975080132,4.099041040671878,4,2000,1082,50,179484
23519,135,1.307238316724496,7.134297151889781,2,174,154,13,52649
50736,364,1.8140077782597008,5.579398153233343,4,956,525,24,158658
50115,385,1.2734441244248638,1.4889181702904049,9,904,611,14,101375
54368,388,10.369002122347357,5.211448460843342,4,1606,842,39,551308
88039,493,1.8119847417009436,1.0655047981669212,1,1302,703,120,199807
18241,136,1.3071958762517402,1.394324826726108,1,508,190,32,30415
80456,605,1.4883936195070542,0.39964208832543363,1,2000,752,129,508404
72010,362,2.9492261126331556,9.570915940950865,5,1774,722,27,187250
56144,348,1.1456098675707282,1.203665737141899,6,1653,820,26,252684
67314,607,5.364035330745543,2.573433866838312,6,1645,988,32,236646
33927,221,8.165595153684963,1.7376929156127192,6,860,462,15,55907
55920,546,1.62338028875307,11.259781582358327,9,2000,1287,30,485924
62723,818,2.31562250903363,1.4281476381233198,1,2000,1114,191,343657
81834,603,1.0492428065540937,5.27638852867942,6,767,546,17,156351
75550,400,3.251977293767048,6.768634932288718,8,883,736,19,481601
93526,495,2.1754804964487677,2.0020124994148705,8,1129,656,16,144045
22399,236,1.6925398449138311,1.6628200869882939,3,646,340,20,184049
43685,351,1.5097986726411479,4.820613184522274,5,588,546,20,216400
64144,868,3.3350430500860675,8.542282860504088,4,2000,759,35,390561
42657,214,2.18409718615073,4.921764633551478,1,781,528,90,253160
49180,249,1.435678152442538,0.901739013012977,9,744,486,11,177063
2793,19,3.5702889798491544,7.672027771265638,5,69,38,1,11976
95103,563,2.8316659451228894,1.7161888801534737,2,712,796,70,275534
95359,617,5.304678922821637,3.0049706249252943,2,2000,1613,142,615049
69263,513,1.2749321970837912,6.231531322853606,7,2000,1066,30,398399
26039,536,4.3884895911741495,0.7305942832552174,4,1860,710,33,82147
49025,434,3.4626288412778354,5.371944913478312,1,1964,1006,172,158723
43041,290,1.2687959825065216,3.1736020657554165,5,442,269,10,81456
21934,147,3.6110829890904004,7.8334356345841805,2,615,476,42,179238
18147,182,2.281687737624554,0.6604723253450043,7,268,219,6,89068
26205,137,7.380320112641764,1.9106644849296353,9,360,342,8,38130
75866,1136,1.3359362836431752,6.260878204025953,1,2000,1101,189,802715
15807,131,3.26501641008859,0.06796663440596008,2,437,263,23,41660
22076,146,2.058715972931786,0.4165361412821683,6,322,248,8,65892
44362,292,7.912959764522362,16.321730775522482,8,1036,704,18,151645
23876,166,1.880968214682803,1.1516809050354162,7,409,247,7,138825
30180,359,8.205161658307643,12.987963542757138,9,1595,770,18,557646
66942,1029,6.098621214439802,0.7054004001153859,2,2000,1375,121,337892
61473,433,1.6935188976484898,1.567995217814789,9,805,663,15,73167
6876,50,4.580072044980315,4.892434810313533,4,117,76,3,34416
92887,1352,12.93963352925317,3.7530388688966863,3,2000,1405,85,452020
55116,360,1.6407259333241933,3.045617839852704,7,916,690,19,230073
9574,84,2.262975862581049,2.6418283070208775,5,264,170,6,40966
58153,396,2.615560717102647,6.490115764056212,5,1423,915,35,517102
22059,126,1.768811562704658,0.9373427325139454,2,301,212,18,79001
5630,83,1.033841602739756,2.044842198409568,6,180,86,2,17946
94956,2205,1.5469795555774333,0.5913391817060478,6,2000,1552,50,615854
3848,23,1.7286351797578094,3.171685462562729,4,42,30,1,14107
97604,709,2.2897880206677037,1.0094288227536667,5,1515,1177,45,345072
98198,646,1.4128492464624534,1.4217997357535817,7,806,670,19,439618
13645,78,5.544260620729445,2.230343163786266,8,172,169,4,87074
66299,393,3.685053190663698,0.09497405477412707,6,897,810,26,235008
34866,179,1.1959107455159395,0.337548925723378,5,867,430,16,48958
73630,585,3.3101898721120935,4.05347917351312,3,1964,1531,92,530897
93657,792,3.33271313815865,1.9610972413683168,7,2000,1054,30,197417
61187,586,7.882930989009579,7.003247284258531,8,692,754,19,205609
95939,1485,1.0066559754757285,4.152290388095285,3,2000,1416,85,829067
68940,523,1.6268440896974092,0.028468763986569792,5,2000,833,31,512076
54484,646,6.782033896879191,3.3563931699518466,2,2000,1647,145,473879
51105,272,6.9184814911336066,0.34444318718166467,4,479,498,23,109936
46676,350,3.805136899259694,5.314324682071606,4,916,547,25,65799
39453,292,4.193131097813902,16.69007909852162,8,921,531,13,307920
62103,641,1.2110715922732014,2.6515176404927496,3,2000,899,54,270506
83311,1724,2.586840648176779,4.01855357374366,5,2000,958,36,241236
52833,1172,1.5795299688252062,0.9481817687285233,5,2000,586,22,453650
65418,607,1.4398624166055414,2.014382743366526,2,2000,1044,92,684037
89574,1673,4.657123345610476,6.7851147982229865,9,2000,1185,27,359721
23764,173,1.3191536956744894,0.6413032715276378,4,731,206,9,80196
67272,371,2.391142328385082,1.0801481618619584,9,780,746,17,162484
85716,472,7.137980425453981,2.0634910365900745,9,1811,1204,28,837629
93364,641,1.452294951495932,4.359807830982609,2,2000,827,73,285925
26836,363,9.39611068846542,1.6499663530848254,9,1422,629,14,354597
94309,529,12.363403834499568,9.195822018398935,9,2000,1308,30,511839
954,5,2.7843514124861275,0.3472720013937769,2,23,14,1,5357
90184,1261,1.4103034520159063,1.6215947267144921,6,1757,720,23,287689
38723,245,1.8358915797340996,4.319960304756622,9,347,388,9,201653
7492,87,2.2155079129974284,0.896582074185095,4,364,140,6,39476
55780,331,1.8141865065120957,3.739103602328274,2,665,610,53,406242
46817,234,1.7246518546379321,0.6278517664619409,7,288,295,8,76640
87192,1946,8.884334714465446,0.20162879931005454,9,2000,878,20,476034
50959,277,1.36626789334223,0.45145891600928184,6,1185,471,15,53892
26409,189,3.907818095330401,9.306649368656977,4,284,303,14,94634
87555,447,1.0009028219880158,2.808421476864002,1,1648,1077,184,419755
63834,557,2.9949438415689222,5.569660953778392,4,565,592,27,153751
70567,401,6.447772408926934,1.4155658213523457,3,577,604,36,285586
52762,1055,1.7470865762319785,3.1433630972456954,7,2000,566,16,338096
98606,1052,1.4514680334900802,2.3908572430959167,5,1403,1173,44,245626
12788,252,3.3201928037370987,10.198756276402944,3,1104,434,26,245611
25442,129,3.7431474444072994,4.818238818031362,2,574,284,25,101304
37257,218,3.562669808843872,4.589707809810823,2,876,547,48,141461
67963,385,1.8462484731121618,0.1661169282615908,5,758,659,25,199717
52183,274,1.6393704432415148,2.79220863821853,8,847,467,12,144814
65833,1227,7.86778815891628,2.202262373463305,8,2000,882,22,293984
89145,876,6.649263751002124,9.201152850962885,5,1861,1495,57,904460
34798,677,2.34470424970591,1.041318671494781,2,2000,527,46,162227
80723,1094,5.118537149638333,1.1006891863957442,4,2000,1137,53,114797
22771,296,2.324554998747846,1.8547099447426687,7,408,369,10,151835
25284,219,2.2151110951214834,0.9760818820281753,6,478,259,8,69010
93484,1126,1.375115751032066,0.484135685240628,7,2000,1140,32,202838
42207,751,2.2228338066784827,6.817355616340189,5,2000,715,27,243907
86302,1291,2.6960441210631054,2.859749247285513,2,2000,1006,88,476216
51763,814,1.0500751111727569,6.915629858894474,8,2000,967,24,706342
15808,80,2.291818554636115,6.225290087094655,2,248,195,17,130979
92006,569,4.344685171252124,1.1597064557107681,8,1224,841,21,185352
49911,256,3.507072083375911,2.777223373413777,7,1065,677,19,504060
2911,26,3.218233873676702,0.3040983486784036,3,42,29,1,5302
56350,666,6.286639786628921,8.638251171970364,4,1337,848,39,421665
72182,430,1.040032448989107,1.8128442716494808,7,1779,1047,30,119155
34854,378,2.791444452045365,1.751193799630939,4,1033,390,18,92877
95842,1090,4.4058249321170235,1.2621663427648366,9,1968,1073,25,819094
11511,149,2.714759237984392,2.1609561831493433,7,537,191,5,71865
3011,49,1.8610969550856566,1.0151073694749015,1,192,111,19,51983
67370,831,1.3222396278891138,1.6441855277752797,1,1246,589,101,212545
83863,865,5.807798276424572,5.632106166401678,4,1823,1135,52,730350
8780,59,2.3998991253260873,6.290577491104205,9,111,80,1,31813
84996,1699,5.630293619401405,1.2693374173332124,4,2000,976,45,297613
83979,1139,2.9393707888375737,2.2155715200211326,5,2000,973,37,766971
71395,421,3.4671842494190566,7.245154164565777,1,1622,1114,191,277265
88714,1396,4.588142642724311,0.1893895315493961,2,2000,1316,116,364147
11211,118,3.3679239062284423,7.698361632884553,4,120,113,5,61216
37604,210,2.116695657651775,0.8659566823982564,4,329,294,13,51670
1902,29,2.585743687896243,3.9720793305925852,6,54,16,1,5370
8255,155,4.574521866684499,3.057580981117951,6,323,144,4,38911
73756,627,2.029262150106884,2.817724485683324,8,994,701,18,499964
39484,446,2.0806872448623084,6.8654370509143,9,1178,633,14,208527
47354,363,1.2212830077886283,0.37488104293420055,1,472,414,71,134142
22018,130,6.412499262363343,1.4917737395054393,1,520,388,66,79004
86081,1389,1.2099902992830005,2.704581626628387,6,2000,841,27,207385
60813,457,3.2983807751040723,5.836382162672248,4,1506,794,37,237688
30406,251,2.1727360122816526,0.8536905153217793,4,341,247,11,50134
16746,265,2.1445178968761613,5.6846841747124195,1,1208,191,32,142841
46943,335,3.5036764550125237,1.7857814661296398,9,1628,1245,29,218276
96701,1154,1.152791203134301,0.7328335404607087,3,2000,772,46,375716
90835,769,2.981490960449764,4.980157291739829,5,2000,1463,56,766695
16471,309,4.252807958193037,0.333546400211993,1,1349,564,96,214780
77471,682,4.875296771054791,2.530944016839379,8,2000,1489,38,521301
2149,24,1.4113313728038737,0.23102485616144802,3,55,30,1,15983
31716,184,6.009626680875149,1.5424696240816884,1,536,441,75,118700
21032,428,3.3485844743157265,3.2164522576600465,6,1305,465,15,54332
29955,280,5.69885000077538,2.842668426465166,1,728,517,88,152438
61534,542,2.4610939391330673,1.815152190233662,3,2000,784,47,155573
72794,466,2.718109587496537,1.9615754387225701,5,1852,1456,55,413052
43116,326,6.530313342199691,0.9001235423841641,4,640,430,20,151390
7500,51,6.063698057911784,2.130065788589929,7,170,99,2,11251
42742,260,2.3078971673764013,10.72065713014852,6,976,597,19,386790
15251,85,1.7057023355171723,6.650504015819007,3,132,135,8,55156
51507,570,2.0989160801705906,0.549241730223564,8,1387,828,21,134160
66790,529,2.0794035702866864,0.10581634197574073,8,2000,714,18,209865
4599,26,1.7437917627626511,9.488216510259923,2,84,35,3,26620
6395,32,1.688087153303763,2.618458361325942,7,59,69,1,22783
59140,324,5.342215303397603,2.7014379607369388,1,483,528,90,70321
12283,123,1.159328909242106,5.310888403417257,2,377,211,18,110703
29399,412,3.4903932963424,1.322588718598269,8,1314,608,15,350427
12974,109,1.4174126344895217,2.3016056493513313,1,254,146,25,44790
32811,206,1.9292051263085113,12.120335497779767,2,725,453,40,138296
5639,47,1.139740211980505,3.903182805179274,1,59,48,8,9377
53451,455,1.6922841895093608,0.5842710445680205,5,719,597,22,76515
61367,352,4.218235939746703,0.5004225383762403,7,1121,1028,29,395624
48454,495,5.758504116148343,0.7997106580265742,6,617,589,19,77536
2657,14,1.5509265641420011,5.094180495554803,6,63,30,1,11934
38460,365,2.3701113581226076,1.2253233174848308,6,572,339,11,46691
82118,887,2.3980777153778523,0.0756731603828019,8,2000,1133,29,171391
2300,20,5.549838591157003,10.09932727902206,5,51,21,1,11023
68597,423,4.165464761649268,0.6509452471742544,7,1099,546,15,311705
47075,782,2.5832294010471584,0.033614555755135285,3,2000,774,46,434424
21457,300,3.4440447584335416,0.9473440996667888,9,899,258,6,100956
77605,403,5.135209469981797,0.937709766291964,3,1572,1100,66,228412
2969,43,1.0210864307609786,1.9186667320071837,6,129,63,2,22465
61235,468,2.1344387559043367,8.857147072606288,3,1577,629,38,281006
50208,378,6.231102606479861,7.397229519584975,1,1528,800,137,378170
94279,796,3.9662123438175643,2.1365812586345463,1,2000,903,155,197967
90372,631,2.7219946616406885,1.8520570921217976,3,2000,1407,85,975012
38567,502,2.6593863983198416,2.833954956241423,4,2000,1094,51,525427
23428,182,1.9401879699784157,0.9764718497855576,2,872,252,22,74778
91512,919,2.61711925892598,0.18758577240994953,9,2000,809,19,200838
86931,595,3.343708845155222,9.801968908641546,8,1968,873,22,282002
4087,65,2.192199367149569,0.7232889498001854,3,87,48,2,22144
58971,448,3.7550579946492926,0.7740126043636724,7,1090,868,25,306053
22499,323,5.344897574031544,2.2383592367348166,4,855,394,18,288936
46314,547,1.3697006729450156,2.367795460498305,5,2000,796,30,158383
99622,1328,2.3214382121208423,0.06512183002892068,4,2000,1089,50,656206
86516,1249,2.153421681842306,0.5604047052068342,9,2000,1500,35,481588
70371,408,3.5586840160348716,1.6627244258215501,7,439,647,18,116365
44164,515,1.63251182516336,4.029064174155136,4,1471,409,19,264591
70191,372,3.2491666483399864,0.9075952145537688,8,1713,967,24,714334
40918,209,5.61902414655756,1.9247831736056364,2,396,377,33,127892
45625,347,2.1913241412661018,2.852376588542482,7,390,347,9,110252
19930,316,6.322449723958309,7.680962031884495,1,863,343,58,105952
17529,175,11.9681315139101,1.381204217401134,8,668,477,12,155409
6993,41,1.2467354411662626,0.5017614520140481,6,115,58,1,21736
80009,809,1.5837432161035303,2.3517149684988543,5,2000,903,34,283104
47433,879,7.607383843079536,4.806431023232429,9,2000,823,19,169186
3536,27,7.991420293184441,0.40731688313594744,9,54,38,1,27566
74390,424,1.2261958229770982,1.9349222914129887,3,1699,847,51,261518
76313,456,1.0332466537731844,0.06280819116325283,9,735,732,17,300875
5995,88,1.3864603530752992,0.11947325305887505,9,227,109,2,66695
19838,134,13.154256138299168,2.3086777069926727,2,485,408,36,153536
30846,409,1.4365910365872103,1.239360380845125,5,1764,379,14,162747
49477,660,2.536161921504795,6.527579286996316,2,2000,1226,108,353616
48504,269,5.150578831457838,3.2259186844835126,1,1045,511,87,191072
54145,677,1.0453477158991666,2.117547355292846,7,1649,1310,37,699186
97988,1193,3.040668595699513,1.834488178391425,4,1776,1081,50,639302
39890,994,1.7136387641518738,2.4067864106820647,5,1856,494,18,351615
5700,31,5.3624492434986095,0.144477252066265,4,138,81,3,10722
94760,568,1.7333101825384352,7.815489705022479,6,2000,1424,46,445268
93279,664,3.5536982821860885,22.326447734847587,2,2000,1042,92,253273
40864,255,3.4673700564259216,0.7009315324484882,8,332,285,7,88243
74643,1160,1.550831602450414,0.44894028716327566,4,2000,898,41,374794
45814,404,1.0779220557531781,0.5424699250698902,8,1452,734,18,484775
56935,591,2.157995611156746,3.7864224740572645,3,2000,650,39,158013
73844,1342,1.7509800066671413,3.7906974919653234,5,2000,1206,46,469577
56591,480,4.641803799812994,6.591815825638259,3,1958,1342,81,438098
18689,99,4.544773132211548,4.877693558735179,7,241,229,6,43523
43584,939,2.343518155920808,2.090455253726304,3,1612,451,27,172838
83089,959,3.0519516155006996,3.3213491956802366,8,1743,922,23,498250
36312,496,3.039392577112734,4.079827194426015,9,519,309,7,233836
43625,558,4.861832161742812,2.516325607177047,2,1339,755,66,212209
47302,255,2.217456760671198,2.2595921466088154,3,348,477,28,108758
32735,284,1.7088398329256864,3.6256920768437007,7,649,269,7,208239
63308,552,1.677451034858488,2.8534005491213574,5,1939,1264,48,432046
33928,209,2.690227456821134,3.614318741592406,7,956,560,16,387328
18811,290,2.3118368482651377,3.3213438834401137,2,1263,372,32,88317
3520,29,2.276075198165983,4.445351253078756,4,58,44,2,13674
96852,890,1.2102348255196307,3.6031423856694316,1,1367,672,115,234431
401,2,3.789581140571135,2.5670149132202913,5,3,4,1,5000
45336,226,1.5290197881896797,4.007727997082788,8,1103,524,13,114216
66335,406,1.4825542062216552,2.0891344689831426,1,1298,748,128,530488
54340,524,2.1711014122429475,0.9682338699419104,7,906,515,14,246054
65826,381,1.5686640254071345,0.004967293659814565,7,1662,1004,28,377784
10592,157,2.9288046209534517,2.8731467507050144,7,405,250,7,25037
6202,138,2.021594028924619,3.1261912895822177,1,634,296,50,85345
50436,693,2.31089259307981,12.52055364570834,3,1415,816,49,271489
85414,904,2.694866793819547,1.5700988505238043,2,2000,965,85,324410
26741,219,1.5006600474612664,1.7538331640981835,5,661,369,14,123153
34684,250,1.3724787923458266,0.7888844665283696,2,1142,634,56,341993
32845,176,5.67232829498918,0.2560087912808756,5,787,391,14,57296
23193,190,2.2510809571643384,5.18680528537605,5,626,257,9,84629
66205,550,2.1686125963875504,1.0053992035371464,4,1037,553,25,103295
51985,1082,1.0797758093973353,3.28581549247348,7,2000,1168,33,312061
36731,805,2.5160374996874086,4.074087169115412,6,2000,731,23,571690
73091,570,2.7771972704533314,2.230250299338568,2,1955,941,83,423066
4114,37,2.800369189924262,7.316110808779653,4,152,52,2,9859
11193,64,3.700915922243884,2.0531632161192412,7,179,109,3,69693
18170,276,1.429846365232178,1.1737073057929064,9,863,296,6,30069
35877,815,1.6394314372714962,7.922297775795911,9,2000,667,15,114617
57058,510,4.6620829739107705,6.920722225595534,3,1943,1418,85,361307
82174,1053,7.469513036536047,0.6271105771816667,1,2000,1046,179,328526
10829,225,1.3214302839266745,0.09206383870799265,9,681,233,5,78769
99813,640,2.51460606935595,0.3300318260887497,8,1871,1020,26,680418
45117,779,1.530250054015457,1.1817374636248446,7,1839,797,22,144833
66420,483,1.136297139931013,12.547054509859207,6,825,904,29,448649
27851,327,1.866334815246075,2.861648463128627,7,1555,618,17,150953
78169,1153,1.341264100229118,1.6352919133355996,9,2000,1003,23,758906
54848,544,3.7228159230058524,7.684847228947352,6,2000,1037,33,767035
5901,35,2.678557270153345,2.112445098759649,3,135,103,6,18644
19290,187,1.3416414023519494,1.3253970241452364,3,778,309,18,35595
49789,310,1.0204260250028172,9.918809602684183,4,1471,593,27,195149
51093,850,4.6323720517412825,6.628683547581281,8,2000,612,15,425218
29692,181,1.4264055547828154,6.4952150530820845,9,831,474,11,144144
10747,137,3.0502996233746233,2.5130823664885327,8,228,97,2,51545
8816,59,1.9038975386469383,5.452919592624752,2,206,113,9,82521
88991,681,2.9374264371685266,0.6918193213115609,4,2000,1368,63,270850
87645,464,1.8344404117119602,2.980227428375237,4,968,1071,49,197039
90012,882,1.2000970443859016,14.439539820701132,2,2000,1015,89,246220
