total_loc,file_count,avg_complexity,duplication_percentage,team_size,actual_effort_hours,actual_time_days,actual_cost
378860,2090,32.27751702963781,24.688783319778324,12,181323,3022,6627628
274038,2381,21.349825433591505,35.392317881226035,1,130171,17084,15837183
331736,1855,20.34788442089208,9.254305690376361,19,92703,1189,13519437
4390,25,29.979406309221428,16.16966568428157,19,1644,21,101282
42106,140,8.488106585210701,39.73060785718986,6,8652,234,214859
489992,1785,26.659243010405294,34.74228112997843,13,164872,2615,11032023
257340,1551,25.59639023608744,22.585594315848077,19,100152,1284,2230470
473754,2302,30.800241439981527,20.665103674171014,13,239752,3803,10790878
349957,1476,13.91585530641878,11.38401529218724,4,76699,2876,9036780
142199,2421,22.809808677854235,20.688377107741175,2,62200,4276,8821296
271436,991,30.16143742795878,33.92725993119789,15,212737,3102,6673215
240431,907,7.259158727812254,27.406980531111223,12,46443,774,4297236
240129,1461,32.236697506434176,11.601761127119463,7,137453,3313,7285628
205541,1390,5.966437599210972,8.058556842141318,18,41914,553,1595988
174573,1476,14.814619942163436,10.608341479873165,13,30561,484,1481213
208124,1230,5.621062690755901,6.790368055713061,17,28038,381,2666671
417613,6835,11.589469887647873,3.8256278409486377,4,65845,2469,1874441
68648,260,28.796840270222294,16.7654469776822,14,34281,520,2620728
253301,4303,16.35698409163829,4.531984175930708,13,59705,947,2243691
124743,943,15.813234382326534,6.876502309084174,3,23218,1112,1287392
252495,892,12.294887060094027,21.892987373579444,18,53733,708,2407134
382818,1637,25.972137335414875,6.583970947982989,14,161773,2455,21804867
155055,1288,21.3503932256559,2.555190697236114,15,31717,462,3553619
387002,3419,19.533851362931358,12.695554001115408,3,91136,4366,12111986
49055,956,11.639111282356552,8.8127639448787,1,7283,955,508718
257008,1147,31.80412493723705,20.61220751977507,17,134972,1836,8198703
279803,4498,17.71130294962384,4.0946833833283725,3,82993,3976,5766049
373154,2037,22.77460877247784,30.070831507319124,14,83333,1264,1867597
107030,368,11.356438110322987,36.24934077740554,3,24645,1180,2814743
80577,1041,25.427855597356697,29.737406958247774,13,27329,433,1789241
298564,1091,18.497276550073657,21.31308149605577,15,103074,1503,6259899
485783,1630,25.610380349785412,34.4267128715554,18,200987,2651,19648155
460837,7048,17.56409793173018,27.7967351912603,14,137005,2079,10509994
201051,742,33.6631481778963,0.42204489800759415,3,88044,4218,12987338
483191,2699,19.11719648678796,15.763606110980124,19,167088,2143,11080089
282101,1019,28.993553396260996,34.038075976272005,8,196551,4299,19617059
460273,2386,22.602833860346017,13.834354319010771,4,115427,4328,6985023
208761,968,11.155524747440058,1.40860694102094,4,28127,1054,4184660
240681,1294,29.005464154980974,29.84718554209089,19,122699,1574,9553888
341597,1283,17.50653688184225,32.08153081131474,11,85350,1503,8742976
315639,1351,32.403387074536525,6.423747801732342,1,166431,21844,6070373
172329,955,30.98903836261687,21.493619873727248,8,101293,2215,11678388
272336,1019,31.381611226347,7.67821755982903,15,105156,1533,5783296
439474,3947,10.804709529397364,28.76937676176587,1,77262,10140,6051138
466125,5217,33.156327005148064,10.862018207099426,7,209326,5046,28218672
202783,2250,16.98450452847517,12.648604902533203,11,51414,905,7515278
197269,1477,30.28334468528453,33.798834145604054,14,108538,1647,8161446
37565,342,20.251973617857423,19.052894088276172,16,6312,88,811245
223665,791,29.648950890174795,26.790178048729913,14,86429,1311,2327997
99799,1305,17.479501326138227,16.094922028898708,12,24046,400,3130419
426322,1896,25.042179633369052,11.920274287750217,17,126626,1722,12895128
12034,123,5.42792133187635,25.019122416986455,14,782,11,65321
488379,1806,33.50321340199131,6.194302963152851,10,140013,2625,18999103
40897,140,13.980238738342178,14.91999342267452,14,6597,100,856909
258250,1552,20.667323429875896,8.361481495436891,18,71554,944,4193269
354031,1312,30.84845370877552,27.83179867762982,9,163136,3285,20048352
263660,5140,23.63971660230373,37.768353533844305,17,94523,1285,3113003
483505,1896,16.501963095837354,39.820438720634655,6,168808,4571,21431747
56091,523,19.23856711537589,18.01107241766363,8,18819,411,2028861
221384,798,17.249032881410017,10.10121558545778,13,56063,889,1761646
23747,472,15.091180719272018,17.713174815372966,18,5751,75,625711
24800,131,2.3170269576773657,33.890776398508955,5,2918,91,278574
467781,1955,16.446471135972168,8.240227142081595,6,92731,2511,9021939
83298,726,10.81606436004982,38.08382606611695,19,12211,156,705946
9768,99,21.87120022790537,13.67463075192604,4,2911,109,159070
349451,4920,8.322301725645344,39.4321463780122,7,79682,1920,9492481
274829,2088,18.351120575644828,33.54435550135849,4,109759,4115,5859566
195276,1027,31.702299242346253,32.34282136589562,11,100095,1763,7808820
218351,2765,8.611557879924591,12.716186950931343,12,38790,646,4279412
432815,3002,24.632607258339718,0.35108847791717857,14,57817,877,1754752
402287,7696,31.854889089334563,15.285316353039512,13,173462,2752,16876341
237084,930,33.07508791808338,12.072374786507748,10,103204,1935,9971459
38544,469,23.427402546477822,1.4958796163518917,18,14991,197,1633265
313858,2597,28.173560910687776,20.214610260237187,16,145449,2045,9903717
454944,8331,34.06703461567711,16.121252451309466,5,256739,8023,20119960
377396,2387,21.487755408348768,25.382258709660988,8,139812,3058,8793617
49484,190,25.35917144591716,24.84745288776333,14,19937,302,2493358
303418,2049,7.299327737618083,4.829865435867204,5,55661,1739,2058310
265212,2795,33.116510605927346,39.0786218450649,8,85091,1861,12353852
120651,506,16.268908775998085,7.477257177657877,6,28421,769,2913968
456308,1845,26.174185448106684,17.810960990588182,16,217817,3063,29470177
461279,4936,17.61716521853159,19.524701737349396,4,77908,2921,5875049
134267,553,25.21873415237222,32.52251188856481,12,66064,1101,4174998
124875,435,5.719938387782216,3.9691838437858706,11,13598,239,1864209
179762,1962,29.901678273858224,17.14577116834127,3,82092,3933,2697009
136830,563,27.75198804118394,25.140086809448157,12,50815,846,1789904
481254,2118,16.890823371098225,8.606224864962222,5,136729,4272,8055400
302148,1794,30.51336755027261,25.098715950642912,6,138959,3763,20117198
164731,2554,27.098994258782966,36.94659350198611,19,90421,1160,9249970
14486,210,19.62400133486452,39.900725246907,18,5499,72,506156
62358,237,13.07924513009094,1.2980430716270286,16,9640,135,1076752
129812,436,11.469703871274168,9.4235291297871,11,26081,459,1937080
13166,60,7.985044118391151,12.412284631667898,5,1782,55,211255
301304,1865,16.265739920144608,15.965044017798643,9,75350,1517,5358891
135133,637,29.905854859543382,9.690286303390696,3,53083,2543,6764218
289498,1457,9.041542503674657,8.139519782212501,8,54228,1186,2968894
327149,2242,31.5802470113358,38.1821536967,6,203111,5500,11390681
104988,1580,13.217572176212883,36.740864110820716,4,26069,977,2291721
183823,719,19.802842484329386,1.8797000401246988,12,40671,677,3090953
285306,1995,29.746203375806232,13.552520864193927,12,91685,1528,9558625
271036,1064,32.067639863666166,16.205942147136266,16,133472,1876,8990380
31035,274,11.619361182106763,9.560581386637734,10,4995,93,249608
472319,9398,23.8398409569782,25.15491587952702,14,110864,1682,8988311
376213,4192,20.545225879686974,25.615229865769642,13,90290,1432,8390139
314900,1884,7.682279971613406,34.02016913314388,9,76424,1539,2945228
351779,1229,16.61792377690104,29.634770735408715,7,85740,2066,7920097
390122,5163,22.11892777824429,21.702933078638225,12,161173,2686,9912682
297866,1130,18.879034657532753,26.143470801776797,5,84163,2630,5977150
77873,428,23.493407597954704,10.959551261720723,18,31918,421,1797345
473291,1845,21.625124899411993,23.722247598694306,4,197249,7396,27828548
124184,996,17.675597020149436,19.56909018999677,2,28253,1942,3074878
490070,1884,23.26004917183854,5.333778692654816,3,91143,4367,4932644
478367,1966,32.04549831793675,9.70177106331883,12,133989,2233,13915303
457051,4251,35.16721957062191,11.667738028863441,3,196367,9409,25589450
273609,3303,21.896963291217908,36.97238268210232,4,142721,5352,10306158
25038,93,24.394293631660545,9.215465575435577,6,7715,208,986705
370710,1274,17.021013778575668,11.569756112786727,12,94008,1566,3767271
202164,3496,20.742998694560793,14.774165203577292,19,76819,985,9753061
491734,2112,20.8463486564292,26.54970954501548,10,167804,3146,15142339
375896,1355,20.529746841583076,4.729535698885621,1,103955,13644,5092410
139682,528,25.03364207956739,38.15780849975104,17,68489,931,4994791
473025,1624,36.02871198764867,34.62284880379058,16,318109,4473,47219810
158838,661,7.700126341545197,23.088642920358005,9,26210,527,3194010
184564,1149,23.095818438134035,26.96151469699827,9,58361,1175,5530359
214520,1676,22.172570419756156,0.6664188497686396,9,61352,1235,2145559
99306,762,6.420156136102024,13.557791013937948,12,17594,293,1307507
400626,1733,15.157455582763163,31.826409226457677,9,144402,2908,7826111
373633,1580,17.491732347247726,3.0993189516954356,15,92116,1343,2692563
91482,913,7.670641053707543,11.292553368428809,2,16004,1100,1448147
122126,457,10.510674993205912,23.411873133372453,11,25202,443,3417243
119676,523,11.153943166989519,10.256521107957672,11,21277,374,2294255
393922,2065,18.61298115813273,37.359118965780766,8,142158,3109,7457388
218626,1302,27.104843131233608,5.242345232171615,6,97664,2645,9235693
219469,1181,21.97483391166742,31.895774316311144,7,66044,1592,9419225
122909,1368,32.059333486590646,20.31794767625633,3,43289,2074,4934035
23919,236,13.50571898205666,30.013231032798238,8,5151,112,564712
444352,6104,31.749127141270826,12.428613132457897,18,212423,2802,30984138
254118,2874,31.35494421991948,20.57958409248155,17,144687,1968,17919995
245810,1504,25.606576298103217,34.273413988927054,11,85522,1506,3229401
50515,276,13.954377472107385,18.675123964924175,2,5712,392,372379
249050,4572,27.835244291626836,14.388794476410784,19,90263,1157,13130404
122596,491,9.358266995407861,21.44621545010944,7,21363,515,1787264
107559,870,12.65019279022384,28.694510121454677,18,18853,248,650671
185840,668,20.570672397879374,17.74253381994011,8,48399,1058,3853462
111187,380,19.910612231298302,37.55507900569092,14,45393,689,5020879
350583,3638,8.653762788706254,11.797832961693683,7,57250,1380,8569252
411857,2488,36.645451473924254,19.01854424676482,4,252523,9469,15683620
211928,4212,25.44075086530431,30.27710637365766,17,82290,1119,7145347
106378,533,17.50296875672484,27.564843619830327,5,26048,814,3499769
203482,1008,32.13032979784094,34.545642096686244,12,104989,1749,6948669
449760,4019,22.728971392274026,39.872367227244354,9,198233,3992,6780361
198786,1048,33.40835153784078,17.074333151803582,13,70614,1120,10123340
249502,2345,20.84629796006107,4.446035191332474,18,91445,1206,7635411
250896,2781,9.332207329941404,1.216635232318719,9,42209,850,3603039
165399,776,26.487208201319042,29.075076245590864,4,63786,2391,6426823
449536,3419,29.678754027257373,34.96054685234863,8,266859,5837,5459871
325267,1646,29.921954917862017,8.828503437776746,1,168164,22071,23719036
475450,3003,38.100818833044755,6.337921487596239,17,238367,3242,15967881
338094,1141,30.28006977687952,2.4882036610276392,9,128227,2582,9181199
356070,4074,25.85016146428276,32.90811686868825,13,200504,3181,8548328
380489,2290,33.471738168464384,12.455277595703373,2,263993,18149,18257679
416015,1889,28.844446741281413,16.06787571039106,13,178087,2825,22174085
44085,296,13.71715264795177,20.110007664384494,9,7626,153,945615
371869,1266,34.12035316301142,33.57812936838203,6,199374,5399,28242042
64544,280,8.725993362746813,26.0333288624594,1,14170,1859,1026189
436273,2036,30.450056972353003,24.602585194312454,5,167992,5249,18837580
442796,1850,35.42126019328195,7.026883998236428,3,210224,10073,18066836
110056,381,24.40929907139559,20.52759566839319,4,43188,1619,5377897
3193,11,21.28484715256185,28.61524068714621,1,900,118,101367
488719,2115,32.60089052808324,38.93043532121967,14,348045,5282,23606980
357903,1508,21.644662200718688,8.05625236853409,9,120380,2424,7676343
243807,2819,31.227089782553755,0.3817341226890658,4,137367,5151,7255384
200735,2651,10.914357778946645,3.01205734393879,18,38750,511,3679198
26439,137,5.22298606400984,15.03409860727917,14,2961,44,430232
442641,8108,18.132574623436835,32.821785909839484,4,151457,5679,6968336
436657,2559,25.1488845064748,0.2856832707298018,10,166293,3117,5385036
153406,1495,18.874412066870804,18.26922371543361,3,52847,2532,1877235
18547,135,25.168303972621015,13.169224613655782,7,5625,135,685140
288749,1183,18.507471035716506,2.099268403989103,10,57357,1075,3757664
76266,267,16.57130836245375,18.009451466904693,13,15017,238,738351
409423,6011,9.576122814522472,10.189948293468753,4,89991,3374,5927683
415692,2264,21.196277856845235,14.075393373880258,18,142906,1885,14846933
44762,165,20.68069275555992,28.22461219137172,11,12562,221,1144176
387761,5490,9.204961588171173,20.862039356438686,4,71160,2668,8301996
286420,1118,14.873976990401069,4.985897159712533,14,58283,884,3734753
161652,1159,10.263774419392309,38.45658161694556,18,28232,372,2223657
128876,987,4.7950974383780585,25.436430628389534,8,19225,420,639344
460558,1564,24.109702607521587,30.634737026501263,10,189736,3557,5596761
455089,4541,15.371755503616537,3.1685260003348326,5,132605,4143,10620756
138348,619,25.316324649310026,1.8823351784007558,7,39099,942,2314956
93287,365,27.455648629137105,0.7779220147232468,12,21508,358,2143574
128448,2130,19.390930297405287,7.551761110937778,3,26961,1291,689939
55516,255,30.579832933113106,16.576335908739807,4,20791,779,744933
403190,1400,22.127678572647266,37.43304533611291,10,141484,2652,18743065
499546,6163,25.87859809652255,18.282386370631052,4,152592,5722,14285740
451769,1648,38.72269486477475,11.610204214901177,15,302237,4407,34021939
22459,113,8.164084642986415,22.47741014078653,10,2994,56,387592
137102,671,31.07587225063025,4.47738312539157,16,57265,805,4598291
226428,1114,6.770849098454284,24.380235640199327,15,51387,749,6111859
381745,3061,21.58011981763265,22.737278173220133,19,141845,1819,12510179
266392,938,8.357941851858907,31.67972133622839,19,54145,694,2650795
229076,798,26.729327544495646,39.467504464680964,18,148043,1953,9459252
491814,2383,28.480139140520514,10.03493886864442,12,244453,4074,20471852
14045,57,21.773293640560293,20.386258032150426,16,5173,72,316562
390303,1922,19.66599159907249,36.354616252760145,1,124840,16385,7942146
459915,2687,20.91327608691003,31.407595376913655,16,159203,2238,10166873
166338,772,5.641019089865944,19.496252124032303,2,24111,1657,867253
336174,1785,17.871883246359552,37.814865984591115,15,98025,1429,3039121
356201,1786,35.07338366559972,2.289467740672375,7,173778,4189,4525958
61587,250,13.22930957823302,37.23994478850336,1,16536,2170,569240
489555,2875,34.90076348043713,2.020295695312262,5,170645,5332,11037646
69340,1152,26.814239637748088,21.89218976458737,10,38005,712,3694212
118951,1307,14.203013534997782,35.61763792004343,4,33535,1257,1490935
448100,2806,28.28967173148948,10.508837742452112,14,168431,2556,22812488
313649,1356,10.0387564659187,18.88993995780634,13,60258,956,7537656
440292,2220,12.812518841294018,12.973155165478666,1,105570,13856,9255166
39853,187,3.2081322461896864,38.08575668305406,16,4273,60,487751
193575,1139,21.720937707878175,32.94582379012363,9,69096,1391,4672458
214783,1053,17.651718351156813,28.360060453055183,16,47878,673,1186470
315377,2384,23.20047834326296,23.50507946460435,19,174388,2237,23989383
65818,392,17.427482524743247,32.82367157296592,15,20234,295,740830
241525,1023,15.98638674163118,15.690681660941884,14,44862,680,6425667
483190,1803,30.310529029880712,17.902074204242474,10,379426,7114,35796845
417380,2634,31.34415454657533,29.200068843234458,12,193571,3226,11560679
67672,1110,2.777659507452596,14.310190531748571,1,8002,1050,675514
217188,2402,11.35378669329747,2.556037681934953,17,35931,488,3061747
257451,4662,26.83286017441677,2.9733843554428585,9,74686,1504,1719818
93764,439,14.087265006381191,4.614512052228155,19,19663,252,1301882
246958,1855,25.151194461306638,34.78725293374651,18,58886,776,6841525
289380,1558,16.849517132302193,18.889057030248175,7,91731,2211,7917210
225781,1302,16.847519417559475,28.51529477378946,9,49219,991,2547079
496757,7058,15.536827337000863,15.71637342419573,12,108270,1804,6882104
113359,751,10.75587957031864,10.34843789662538,7,23126,557,3057189
374825,3564,26.053440967720032,13.887686702488477,14,134662,2043,11893544
394570,2552,21.453130228139827,31.767293812687342,15,136308,1987,12088580
352728,3496,30.50933780539326,25.008645001257527,15,137184,2000,19890413
432339,1662,34.37174369321194,37.50559119831608,6,377004,10210,23266644
270036,2886,22.108466128286036,27.18819114307336,14,105985,1608,8726841
318324,1096,29.356231469625715,22.807265270187756,2,114478,7870,14369595
257926,1675,15.058750882642531,24.40784035943338,8,66658,1458,7909544
178289,681,16.599945246602267,37.69485757873659,13,40873,648,2229782
218664,1055,26.0438326102881,31.528037194668244,6,127132,3443,5039745
313503,1340,18.47020779169389,0.9616494946575127,5,77890,2434,8652924
126157,521,20.589783119610676,21.36558784542789,5,32142,1004,1719446
235667,1337,11.089150593392834,27.533536461862592,1,56018,7352,7839599
157881,849,21.550988134144443,29.947939137566202,9,52741,1062,1940984
481171,2695,35.607317509579914,8.525684772557467,6,180545,4889,11082028
195306,991,30.096669554879345,34.68709417805409,7,108769,2622,2950070
70967,1237,23.425327783556654,38.23372588700655,9,30998,624,3454097
184234,1237,26.311527993207655,9.46861223379479,5,82271,2570,11177679
99006,491,19.16001590937032,35.30461830068983,14,33157,503,3404019
110251,552,20.16039461480892,3.8791505006438154,5,29925,935,4246593
381550,1537,12.506866860905022,2.2282734446098074,8,70902,1550,2602494
406404,1901,21.999996464217734,5.168952004109975,7,156517,3773,4915480
287986,966,19.83223223270455,2.3096431786814398,13,69651,1105,8984537
168729,1394,32.17101723436446,33.80048948623104,13,102263,1622,13418588
461579,3301,22.733099016075393,2.362005778330878,8,152102,3327,19474400
368952,2527,24.30997670217997,10.86656765454622,11,134063,2361,16605772
445799,2678,25.380270579093967,4.1502537414342555,18,138278,1824,9277027
106581,411,21.597709794285485,11.816881452550598,19,33291,427,1606958
459449,4217,31.88773210862498,3.6223787040368194,6,191520,5187,26955390
89545,366,9.317114408955291,26.72013002972056,2,23524,1617,1409323
35198,232,17.036968153854634,5.333072653703006,13,7445,118,534498
110578,551,27.16317351216488,34.07383703355551,11,41653,733,4621094
343267,1649,21.295666701287832,32.68764202906564,1,122443,16070,7118381
23171,161,9.538688844833617,0.5464674188243768,2,3457,237,437265
418900,2351,28.364563185332674,35.82905422060458,17,212918,2896,6196872
356028,2323,32.00981447817456,1.1577726697346824,8,134720,2947,16550856
435823,6477,11.547528494894348,9.585831398302265,2,81786,5622,8034711
86702,544,25.260964018809588,1.2955655110398023,6,28701,777,2711933
52163,701,25.871050055891363,13.43373948157264,5,22820,713,1816221
16208,107,14.708324900069599,20.554661028530866,16,3922,55,219694
354550,1788,36.606864047735556,31.865794760605525,8,229609,5022,18444292
312455,1603,30.063641880511966,13.519262018793444,19,150168,1926,11788744
134383,623,26.123874381974307,28.219600986924668,16,66694,937,6395157
318894,4320,29.065198657950084,7.5001782847592136,13,101810,1615,5762920
113047,530,7.628574993329947,30.023938269765054,7,15013,361,451702
465798,3637,16.615655707137314,9.439864236369502,16,147846,2079,5745536
386893,2583,22.193573812468326,5.741790237750717,16,130667,1837,14490064
35254,133,9.361206148824511,7.416354014962172,12,5405,90,123904
227314,4349,17.588268197687174,7.282525155274215,14,55568,843,7298167
238214,1208,31.5297391877647,20.514515175079644,18,107073,1412,11807116
142983,716,27.765139864498806,33.791903247525845,18,70149,925,8407445
134483,901,21.960816475919483,3.184203079700225,16,30983,435,3986829
460986,4219,35.105211433282,28.278252739736907,16,316366,4448,11374103
215335,1981,28.036099281500228,26.173858386114304,13,99985,1586,12689960
402396,1485,21.488483023385825,34.90079807317449,9,153597,3093,13148443
85396,532,8.538809409448408,9.765902420276289,9,11003,221,1486704
477595,3598,25.463730160270835,18.004394347401185,13,199991,3172,27050034
71795,442,23.786537593327953,37.033094977740696,4,24348,913,563489
220186,1013,18.059888363158198,26.399738005412686,9,55657,1120,3883326
363333,4203,27.60304538373302,15.550736514463877,15,149359,2178,13208091
273755,1686,9.210595362440266,5.2564953142107385,14,64081,972,6932719
300148,1523,28.695097354770702,10.499400316023642,19,125067,1604,7154359
133374,464,27.2361749768988,23.248619099575333,12,27549,459,1453994
8655,76,21.671397817635693,28.72671790242055,6,2657,71,184832
467372,3342,38.3980840382646,4.976875474075739,3,284199,13617,24191595
302028,2085,31.01346966635857,23.98389040176216,16,115196,1619,16547791
375205,1863,34.69381810841961,22.014051153550042,17,241191,3280,28719601
47754,343,29.028641420271793,20.558217867628322,16,21931,308,1662627
284562,1551,29.930331764340448,27.60492470728032,6,166149,4499,4497255
86481,352,22.283126418188473,33.49798380333847,8,28821,630,1207821
454429,2007,10.25441885946289,12.919587327074735,19,70089,899,5555967
30806,190,15.125066843470616,35.56048760443838,2,9354,643,1176708
148218,557,20.52806666004847,6.425344504742028,14,40966,621,2846744
309487,1632,16.006617900991987,6.920954790046574,12,68621,1143,6176203
121475,656,12.65452896020069,10.670882544956957,17,31348,426,4261278
359245,6136,36.05852305559479,4.7812347818831125,15,199439,2908,27680839
484451,1632,36.54863509087963,9.212768987315103,18,152995,2018,7351524
108012,1337,27.786431159549423,4.256470516113784,16,45989,646,1180415
147943,1372,15.733202249477207,32.87009667941562,13,46472,737,2774534
471087,7486,10.818997961858521,5.558759675464984,17,99191,1349,10956072
374116,1781,10.808765147215707,29.89190230239427,8,63599,1391,9135652
133621,1258,12.726114678310505,1.9165547165333496,1,25836,3390,775445
163188,1717,4.720304476874633,37.9408131005566,3,27075,1297,641755
366371,5078,8.824763675540746,28.446403501110645,16,55214,776,7450529
375537,4952,35.09223574762992,0.27186194344447134,2,205045,14096,24043348
283576,1445,27.15011656145257,30.554260008008562,15,121031,1765,18032688
118296,532,12.325643711976426,20.56327683064741,1,30622,4019,2192016
292499,1958,10.696672750427641,31.17460681340479,9,52340,1054,3877693
193006,1135,19.697555818957234,20.89987235562354,16,41374,581,1754279
466410,2105,10.48323866477657,25.640994305414186,4,88334,3312,3097001
174588,3212,31.705758571886175,31.45326621580162,12,97812,1630,9314963
270044,2064,18.43051846227947,16.204322183514268,1,66200,8688,4459036
380502,1297,20.277753701882652,0.10832599281808353,1,37922,4977,1154388
174214,893,15.811494619871683,33.99785983780754,7,52338,1261,7081766
15651,137,3.323541581245178,15.235614504986504,18,2142,28,98074
445123,2466,28.413804953962973,19.84170904066332,15,218862,3191,25676006
67190,495,23.60090496922225,0.3106656861587487,13,18516,293,1049666
4999,27,20.707616530060417,19.68368041400392,16,1432,20,179970
6795,83,5.150529306552436,39.45949606286918,7,1466,35,51884
383529,4610,25.456944873032185,11.130706432750785,16,93734,1318,11087730
388715,4525,25.289350040995362,15.816730809695123,13,136477,2165,4470366
321684,1128,32.61759285030008,27.487599858747064,14,177424,2693,13856646
274827,1178,17.491242092893764,32.591746700946345,17,92302,1255,10653549
423015,4669,20.233392366123592,16.695664960244013,12,131000,2183,5569909
144446,1487,21.82620470282738,12.386754816051702,13,36479,578,2084280
378980,1628,26.938706951485877,37.513031999402685,15,219000,3193,28999916
33211,372,15.273491592447922,27.08579866686677,4,8560,321,1156160
268183,2468,19.21238150758221,4.760852179725643,2,45861,3152,1185122
184923,635,19.028742448498598,2.757115125385945,18,48083,634,2012358
454983,3997,35.06997368559604,19.34199403161476,2,272024,18701,9594654
179926,835,17.972360136363392,8.803602641890897,15,62996,918,2731513
388707,1319,36.03216196712485,10.159390135050138,19,218772,2806,31967928
134129,934,18.298689144293455,35.10768715311393,15,29930,436,2745035
301004,5535,34.54690010224585,3.5826409726524266,10,99597,1867,8052876
213590,1923,29.423925154203197,28.614564609155586,11,128857,2269,19068356
133772,519,14.185948355859045,10.845690135223522,10,23895,448,2208000
244048,916,30.926561217601865,30.413128856165507,5,86985,2718,9215654
462213,1908,13.436095241832342,28.896455378541784,9,132113,2660,8357490
178547,2280,31.397308084947422,0.295676057771721,19,65273,837,4547891
284001,1141,24.997681937403858,20.365416516863966,13,128129,2032,12463520
119621,427,4.969751707147024,5.572779295121855,18,12286,162,357180
78005,389,21.243544985873534,34.64908122314707,17,36519,496,1945176
3369,11,29.32056197019793,34.863435314496265,6,1991,53,90760
257686,1003,8.17793898382424,16.733832299750322,10,36091,676,796389
454851,2098,26.182963583622502,17.775824738043223,2,118297,8132,10622735
312752,1609,28.941076143021803,12.131317576181084,6,188553,5106,17523525
112796,822,26.753419014286408,28.66425195840124,13,47018,745,3287127
94679,1054,14.89457649430308,14.346454521058366,18,18252,240,1002665
90772,451,8.736270215879047,10.71169898090535,7,18541,446,1942499
38967,300,3.0072660843991312,17.28924238018033,2,5922,407,222108
